CableY  CableZ  CableProb
0.64  -1.274  0.129051
0.64  -1.296  0.137304
0.64  -1.252  0.117906
0.6  -1.318  0.158891
0.64  -1.274  0.12874
0.64  -1.296  0.138207
0.64  -1.252  0.114468
0.64  -1.274  0.122159
0.64  -1.296  0.131834
0.64  -1.274  0.123492
0.64  -1.252  0.114581
0.64  -1.296  0.132003
0.6  -1.252  0.122244
0.6  -1.274  0.131359
0.6  -1.252  0.124438
0.6  -1.23  0.117326
0.6  -1.274  0.134628
0.6  -1.23  0.114499
0.64  -1.274  0.123668
0.64  -1.274  0.125098
0.6  -1.274  0.131751
0.6  -1.23  0.112604
0.64  -1.252  0.109416
0.6  -1.252  0.119504
0.64  -1.252  0.121741
0.64  -1.274  0.12789
0.6  -1.274  0.142819
0.64  -1.296  0.142158
0.64  -1.252  0.12498
0.64  -1.296  0.136154
0.6  -1.23  0.116786
0.64  -1.274  0.128224
0.64  -1.274  0.138056
0.64  -1.252  0.124238
0.64  -1.252  0.126436
0.64  -1.274  0.122056
0.64  -1.252  0.121533
0.64  -1.274  0.124159
0.64  -1.274  0.124285
0.64  -1.296  0.139729
0.64  -1.274  0.123753
0.64  -1.296  0.131108
0.64  -1.318  0.140969
0.64  -1.296  0.12725
0.64  -1.252  0.115826
0.64  -1.296  0.141189
0.64  -1.296  0.127828
0.64  -1.252  0.114637
0.64  -1.318  0.135318
0.64  -1.296  0.129912
0.64  -1.296  0.129355
0.68  -1.34  0.140162
0.64  -1.252  0.118086
0.6  -1.296  0.126204
0.64  -1.34  0.137374
-1.36  -0.944  0.131186
-1.36  -0.834  0.119971
0.72  -1.406  0.144056
-1.44  -0.966  0.145798
-1.44  -0.856  0.140535
-1.44  -1.12  0.162452
-1.56  -1.142  0.182097
-1.64  -1.274  0.201104
-1.6  -1.252  0.198963
-1.6  -1.032  0.168132
-1.64  -1.076  0.174484
-1.56  -1.164  0.18275
-1.64  -1.142  0.186567
-1.64  -1.076  0.177356
-1.64  -1.032  0.168006
-1.6  -1.142  0.181176
-1.64  -1.208  0.190568
-1.68  -1.164  0.18735
-1.64  -1.12  0.174828
-1.72  -1.01  0.17372
-1.64  -1.142  0.179146
-1.68  -1.076  0.175059
-1.64  -1.054  0.166408
0.96  -1.736  0.186275
-1.64  -1.164  0.183618
-1.68  -1.142  0.181953
-1.68  -1.076  0.1746
-1.68  -1.054  0.171866
-1.64  -1.12  0.175586
-1.68  -1.054  0.17183
-1.76  -1.076  0.178729
-1.76  -1.208  0.199131
-1.76  -1.12  0.187198
1.16  -1.802  0.195224
-1.72  -1.142  0.179042
0.96  -1.78  0.208964
1.04  -1.824  0.20489
1.04  -1.714  0.173523
1.08  -1.736  0.184004
0.96  -1.824  0.219748
-1.68  -1.098  0.170014
1.04  -1.714  0.177634
0.96  -1.758  0.199761
1  -1.736  0.18867
0.92  -1.648  0.167498
0.92  -1.648  0.167498
