hh mm ss ms ax ay az angle latitude longtitude gpsFlag x y z
11 44 9 949 -1.9106 -0.23535 -0.44092 123.01 31.842 117.25 1 -2 0 -0.16
11 44 10 245 -1.9053 -0.30225 -0.46973 123.18 31.842 117.25 1 -2 0 -0.16
11 44 10 495 -1.9375 -0.31299 -0.44775 123.18 31.842 117.25 1 -2 0 -0.16
11 44 10 791 -1.9302 -0.21631 -0.44287 123.66 31.842 117.25 1 -2 0 -0.14
11 44 11 119 -1.9111 -0.24512 -0.47559 123.72 31.842 117.25 1 -2 0 -0.12
11 44 11 415 -1.9087 -0.13721 -0.42822 123.45 31.842 117.25 1 -2 0 -0.16
11 44 11 680 -1.9067 -0.28857 -0.37598 123.72 31.842 117.25 1 -2 0 -0.16
11 44 11 945 -1.9282 -0.18994 -0.47412 124.06 31.842 117.25 1 -2 0 -0.16
11 44 12 257 -1.8901 -0.17725 -0.4668 124.33 31.842 117.25 1 -2 0 -0.16
11 44 12 523 -1.7539 -0.22412 -0.37109 124.23 31.842 117.25 1 -2 0 -0.24
11 44 12 788 -1.7573 0.104 -0.32959 123.18 31.842 117.25 1 -2 0 -0.52
11 44 13 69 -2.0464 -0.2124 -0.41064 123.25 31.842 117.25 1 -2 0 -0.54
11 44 13 334 -1.7407 -0.071777 -0.46875 122.49 31.842 117.25 1 -2 0 -1
11 44 13 615 -1.2827 -0.02002 -0.19238 122.84 31.842 117.25 1 -2 0 -1.2
11 44 13 817 -2.2017 -0.47314 -0.10449 122.71 31.842 117.25 1 -2 0 -1.24
11 44 14 114 -2.0313 -0.15186 -0.57227 123.18 31.842 117.25 1 -2 0 -1.14
11 44 14 379 -2.0532 -0.18115 -0.77051 123.38 31.842 117.25 1 -2 0 -1.32
11 44 14 644 -1.6904 -0.44189 -0.23828 123 31.842 117.25 1 -2 0 -1.98
11 44 14 878 -2.6201 -0.44775 -0.16943 122.2 31.842 117.25 1 -2 0 -1.98
11 44 15 143 -2.1655 -0.24365 -0.34619 121.57 31.842 117.25 1 -2 0 -1.98
11 44 15 502 -1.6943 0.26465 -0.76709 121.95 31.842 117.25 1 -2 0 -1.98
11 44 15 814 -1.7104 -0.14746 -0.30176 123.42 31.842 117.25 1 -2 0 -0.56
11 44 16 64 -1.8027 -0.3042 -0.52881 123.08 31.842 117.25 1 -2 0 -0.64
11 44 16 313 -2.2949 -0.35205 -0.56494 123 31.842 117.25 1 -2 0 -0.68
11 44 16 579 -1.7095 -0.1499 -0.27539 122.58 31.842 117.25 1 -2 0 -0.04
11 44 16 875 -1.9766 -0.3252 -0.30566 122.82 31.842 117.25 1 -2 0 1.5057e-015
11 44 17 109 -2.146 -0.3418 -0.26465 123.07 31.842 117.25 1 -2 0 -0.1
11 44 17 374 -1.5586 -0.30713 -0.51904 123.41 31.842 117.25 1 -2 0 -0.06
11 44 17 624 -1.709 -0.36279 -0.44189 123.69 31.842 117.25 1 -2 0 1.5057e-015
11 44 17 889 -1.5439 0.047363 -0.47754 123.9 31.842 117.25 1 -2 0 -0.14
11 44 18 123 -1.4185 0.057617 -0.45264 122.76 31.842 117.25 1 -2 0 -0.02
11 44 18 326 -2.0493 -0.37793 -0.32568 122.25 31.842 117.25 1 -2 0 1.5057e-015
11 44 18 591 -1.5298 0.072266 0.042969 121.84 31.842 117.25 1 -2 0 -0.02
11 44 18 856 -1.9634 -0.37207 -0.037598 121.31 31.842 117.25 1 -2 0 -0.12
11 44 19 90 -2.2197 -0.056152 -0.65234 121.3 31.842 117.25 1 -2 0 -0.14
11 44 19 340 -1.7959 -0.10449 -0.67188 121.25 31.842 117.25 1 -2 0 -0.06
11 44 19 699 -1.981 -0.20166 -0.55664 121.53 31.842 117.25 1 -2 0 1.5057e-015
11 44 20 26 -2.0718 -0.63818 -0.44385 120.74 31.842 117.25 1 -2 0 1.5057e-015
11 44 20 369 -2.4858 -0.041992 -0.65527 119.62 31.842 117.25 1 -2 0 1.5057e-015
11 44 20 603 -1.7876 -0.063477 -0.46729 119.09 31.842 117.25 1 -2 0 1.5057e-015
11 44 20 900 -2.0581 -0.22852 -0.36719 118.62 31.842 117.25 1 -2 0 1.5057e-015
11 44 21 165 -1.5337 -0.076172 -0.19727 118.85 31.842 117.25 1 -2 0 1.5057e-015
11 44 21 399 -2.2949 -0.3584 -0.26611 119.05 31.842 117.25 1 -2 0 1.5057e-015
11 44 21 633 -2.3721 -0.56104 -0.7417 118.9 31.842 117.25 1 -2 0 1.5057e-015
11 44 21 851 -1.7759 -0.20947 -0.78174 119.12 31.842 117.25 1 -2 0 -0.12
11 44 22 117 -2.2891 -0.043945 -0.043945 118.48 31.842 117.25 1 -2 0 1.5057e-015
11 44 22 444 -1.3867 0.46191 -0.53223 117.8 31.842 117.25 1 -2 0 1.5057e-015
11 44 22 678 -1.0933 0.26904 -0.28271 117.15 31.842 117.25 1 -2 0 1.5057e-015
11 44 22 928 -1.9297 0.60596 -0.44531 117.8 31.842 117.25 1 -2 0 1.5057e-015
11 44 23 240 -2.6108 -0.2207 -0.71289 118.92 31.842 117.25 1 -2 0 1.5057e-015
