hh mm ss ms ax ay az angle latitude longtitude gpsFlag x y z
11 40 51 20 -1.896 -0.2251 -0.44043 131.8 31.842 117.25 1 -2 0 1.5057e-015
11 40 51 348 -1.9004 -0.22266 -0.43896 132.05 31.842 117.25 1 -2 0 1.5057e-015
11 40 51 597 -1.9111 -0.229 -0.42969 131.79 31.842 117.25 1 -2 0 1.5057e-015
11 40 51 878 -1.9063 -0.21582 -0.42578 132.21 31.842 117.25 1 -2 0 1.5057e-015
11 40 52 190 -1.9155 -0.24365 -0.42285 131.97 31.842 117.25 1 -2 0 1.5057e-015
11 40 52 502 -1.917 -0.22412 -0.45459 131.56 31.842 117.25 1 -2 0 1.5057e-015
11 40 52 767 -1.9097 -0.22852 -0.43799 131.71 31.842 117.25 1 -2 0 1.5057e-015
11 40 53 64 -1.9121 -0.23242 -0.42041 131.73 31.842 117.25 1 -2 0 1.5057e-015
11 40 53 345 -1.917 -0.2334 -0.43408 131.81 31.842 117.25 1 -2 0 1.5057e-015
11 40 53 610 -1.8999 -0.24707 -0.43262 131.8 31.842 117.25 1 -2 0 1.5057e-015
11 40 53 844 -1.9165 -0.23975 -0.44629 131.96 31.842 117.25 1 -2 0 1.5057e-015
11 40 54 109 -1.8975 -0.22021 -0.41797 132.05 31.842 117.25 1 -2 0 1.5057e-015
11 40 54 421 -1.9141 -0.24902 -0.45068 131.8 31.842 117.25 1 -2 0 1.5057e-015
11 40 54 717 -1.8955 -0.24121 -0.4248 131.66 31.842 117.25 1 -2 0 1.5057e-015
11 40 54 951 -1.9058 -0.22412 -0.41064 131.49 31.842 117.25 1 -2 0 1.5057e-015
11 40 55 232 -1.9121 -0.24219 -0.44531 131.62 31.842 117.25 1 -2 0 1.5057e-015
11 40 55 482 -1.9092 -0.23584 -0.45508 131.82 31.842 117.25 1 -2 0 1.5057e-015
11 40 55 747 -1.9087 -0.21924 -0.43311 132.14 31.842 117.25 1 -2 0 1.5057e-015
11 40 55 997 -1.8887 -0.23535 -0.4126 132.04 31.842 117.25 1 -2 0 1.5057e-015
