hh mm ss ms ax ay az angle latitude longtitude gpsFlag x y z
11 41 57 338 -1.8901 -0.23047 -0.43262 133.6 31.842 117.25 1 -2 0 1.5057e-015
11 41 57 650 -1.9131 -0.24658 -0.44922 133.76 31.842 117.25 1 -2 0 1.5057e-015
11 41 57 868 -1.8877 -0.24951 -0.41113 133.61 31.842 117.25 1 -2 0 1.5057e-015
11 41 58 149 -1.9229 -0.23389 -0.45898 133.68 31.842 117.25 1 -2 0 1.5057e-015
11 41 58 461 -1.9028 -0.2251 -0.42334 133.45 31.842 117.25 1 -2 0 1.5057e-015
11 41 58 773 -1.8936 -0.23291 -0.43018 133.98 31.842 117.25 1 -2 0 1.5057e-015
11 41 58 991 -1.9302 -0.23389 -0.46338 133.36 31.842 117.25 1 -2 0 1.5057e-015
11 41 59 241 -1.9019 -0.21924 -0.45166 133.6 31.842 117.25 1 -2 0 1.5057e-015
11 41 59 491 -1.9009 -0.27197 -0.45654 133.75 31.842 117.25 1 -2 0 1.5057e-015
11 41 59 725 -1.9116 -0.25195 -0.45801 133.68 31.842 117.25 1 -2 0 1.5057e-015
11 41 59 990 -1.8921 -0.23486 -0.44189 133.58 31.842 117.25 1 -2 0 1.5057e-015
11 42 0 239 -1.8955 -0.22168 -0.45703 133.44 31.842 117.25 1 -2 0 1.5057e-015
11 42 0 505 -1.9097 -0.21436 -0.40967 133.98 31.842 117.25 1 -2 0 1.5057e-015
11 42 0 739 -1.8809 -0.25537 -0.43066 133.6 31.842 117.25 1 -2 0 1.5057e-015
11 42 1 35 -1.9243 -0.24854 -0.46289 133.83 31.842 117.25 1 -2 0 1.5057e-015
11 42 1 300 -1.9038 -0.23682 -0.43994 133.36 31.842 117.25 1 -2 0 1.5057e-015
11 42 1 565 -1.8877 -0.24219 -0.42334 133.6 31.842 117.25 1 -2 0 1.5057e-015
11 42 1 846 -1.916 -0.2334 -0.44971 133.68 31.842 117.25 1 -2 0 1.5057e-015
11 42 2 127 -1.9229 -0.25391 -0.44531 133.52 31.842 117.25 1 -2 0 1.5057e-015
11 42 2 408 -1.894 -0.24707 -0.43115 133.67 31.842 117.25 1 -2 0 1.5057e-015
11 42 2 673 -1.9214 -0.24463 -0.43799 133.52 31.842 117.25 1 -2 0 1.5057e-015
11 42 2 954 -1.9346 -0.24512 -0.44434 133.44 31.842 117.25 1 -2 0 1.5057e-015
11 42 3 235 -1.9126 -0.23145 -0.44727 133.52 31.842 117.25 1 -2 0 1.5057e-015
11 42 3 547 -1.9082 -0.25537 -0.43848 133.76 31.842 117.25 1 -2 0 1.5057e-015
11 42 3 749 -1.916 -0.25928 -0.46777 133.44 31.842 117.25 1 -2 0 1.5057e-015
11 42 4 30 -1.9063 -0.22559 -0.42773 133.44 31.842 117.25 1 -2 0 1.5057e-015
11 42 4 327 -1.9136 -0.24707 -0.45264 133.52 31.842 117.25 1 -2 0 1.5057e-015
11 42 4 623 -1.9106 -0.21973 -0.43701 133.44 31.842 117.25 1 -2 0 1.5057e-015
11 42 4 841 -1.9092 -0.25 -0.45313 133.6 31.842 117.25 1 -2 0 1.5057e-015
11 42 5 122 -1.9272 -0.24365 -0.44678 133.6 31.842 117.25 1 -2 0 1.5057e-015
11 42 5 419 -1.8955 -0.23828 -0.41406 133.67 31.842 117.25 1 -2 0 1.5057e-015
11 42 5 699 -1.9092 -0.24902 -0.43799 133.68 31.842 117.25 1 -2 0 1.5057e-015
11 42 5 949 -1.9146 -0.22314 -0.43115 133.52 31.842 117.25 1 -2 0 1.5057e-015
11 42 6 230 -1.897 -0.24463 -0.4248 133.52 31.842 117.25 1 -2 0 1.5057e-015
11 42 6 464 -1.9106 -0.25439 -0.45068 133.52 31.842 117.25 1 -2 0 1.5057e-015
11 42 6 745 -1.9253 -0.22998 -0.45215 133.83 31.842 117.25 1 -2 0 1.5057e-015
11 42 7 25 -1.9224 -0.22119 -0.43018 133.6 31.842 117.25 1 -2 0 1.5057e-015
11 42 7 306 -1.9185 -0.23193 -0.43506 133.44 31.842 117.25 1 -2 0 1.5057e-015
11 42 7 587 -1.9126 -0.23047 -0.43506 133.68 31.842 117.25 1 -2 0 1.5057e-015
11 42 7 868 -1.9106 -0.23584 -0.42529 133.44 31.842 117.25 1 -2 0 1.5057e-015
11 42 8 117 -1.9131 -0.22412 -0.44043 133.44 31.842 117.25 1 -2 0 1.5057e-015
11 42 8 320 -1.9238 -0.24463 -0.45313 133.68 31.842 117.25 1 -2 0 1.5057e-015
11 42 8 617 -1.8975 -0.23047 -0.43555 133.68 31.842 117.25 1 -2 0 1.5057e-015
11 42 8 913 -1.9126 -0.25586 -0.43066 133.36 31.842 117.25 1 -2 0 1.5057e-015
11 42 9 178 -1.9189 -0.23779 -0.44434 133.68 31.842 117.25 1 -2 0 1.5057e-015
11 42 9 412 -1.9058 -0.23535 -0.42334 133.44 31.842 117.25 1 -2 0 1.5057e-015
11 42 9 662 -1.9189 -0.23096 -0.44971 133.43 31.842 117.25 1 -2 0 1.5057e-015
11 42 9 927 -1.9048 -0.22754 -0.4541 133.44 31.842 117.25 1 -2 0 1.5057e-015
11 42 10 208 -1.8999 -0.23584 -0.45166 133.68 31.842 117.25 1 -2 0 1.5057e-015
11 42 10 442 -1.9165 -0.23584 -0.44141 133.91 31.842 117.25 1 -2 0 1.5057e-015
11 42 10 691 -1.9048 -0.23242 -0.45752 133.83 31.842 117.25 1 -2 0 1.5057e-015
11 42 10 957 -1.896 -0.21631 -0.43262 133.83 31.842 117.25 1 -2 0 1.5057e-015
11 42 11 222 -1.9189 -0.22998 -0.44922 133.37 31.842 117.25 1 -2 0 1.5057e-015
11 42 11 487 -1.9258 -0.23682 -0.44287 133.68 31.842 117.25 1 -2 0 1.5057e-015
11 42 11 721 -1.8916 -0.24463 -0.44092 133.68 31.842 117.25 1 -2 0 1.5057e-015
11 42 12 2 -1.9194 -0.25244 -0.4541 133.44 31.842 117.25 1 -2 0 1.5057e-015
11 42 12 267 -1.8999 -0.23096 -0.44238 133.37 31.842 117.25 1 -2 0 1.5057e-015
11 42 12 485 -1.9102 -0.23877 -0.45752 133.6 31.842 117.25 1 -2 0 1.5057e-015
11 42 12 766 -1.9312 -0.24756 -0.44922 133.75 31.842 117.25 1 -2 0 1.5057e-015
11 42 12 985 -1.8921 -0.23779 -0.43652 133.67 31.842 117.25 1 -2 0 1.5057e-015
11 42 13 250 -1.9053 -0.22119 -0.45117 133.21 31.842 117.25 1 -2 0 1.5057e-015
