hh mm ss ms ax ay az angle latitude longtitude gpsFlag x y z
11 34 27 700 -1.9199 -0.20703 -0.39648 25.984 31.842 117.25 1 0 -1.32 -1.44
11 34 27 997 -1.9258 -0.20605 -0.42578 27.897 31.842 117.25 1 0 -1.36 -1.42
11 34 28 293 -1.9185 -0.20508 -0.41846 26.757 31.842 117.25 1 0 -1.36 -1.42
11 34 28 621 -1.8975 -0.19336 -0.46533 27.92 31.842 117.25 1 0 -1.36 -1.4
11 34 28 933 -1.8687 -0.1958 -0.38379 26.754 31.842 117.25 1 0 -1.36 -1.36
11 34 29 198 -1.9043 -0.24707 -0.47363 26.757 31.842 117.25 1 0 -1.4 -1.42
11 34 29 432 -1.9443 -0.1958 -0.53906 26.372 31.842 117.25 1 0 -1.36 -1.42
11 34 29 666 -1.8179 -0.16357 -0.48438 26.175 31.842 117.25 1 0 -1.36 -1.42
11 34 29 993 -1.6567 -0.010254 -0.55615 24.187 0 0 0 0 -1.28 -1.24
11 34 30 305 -2.3052 -0.63916 -0.42236 22.405 0 0 0 0 -1.4 -1.22
11 34 30 539 -1.7881 -0.044434 -0.19971 27.35 0 0 0 0 -1.36 -1.36
11 34 30 789 -1.2764 0.14111 -0.10205 31.409 0 0 0 0 -1.36 -1.26
11 34 31 70 -1.5015 0.31738 -0.19678 34.667 0 0 0 0 -1.32 -0.94
11 34 31 366 -3.1724 -0.93066 -1.0117 33.69 31.842 117.25 1 0 -1.36 -1.34
11 34 31 585 -0.31934 0.021484 0.13623 33.299 31.842 117.25 1 0 -1.24 -1.34
11 34 31 881 -0.9707 0.27637 -0.22119 34.216 31.842 117.25 1 0 -1.24 -1.42
11 34 32 146 -1.8555 -0.31055 -0.84521 37.794 31.842 117.25 1 0 -1.28 -1.38
11 34 32 427 -1.375 0.22412 0.50146 38.733 31.842 117.25 1 0 -1.08 -1.42
11 34 32 692 -1.4604 0.034668 -0.14453 38.733 31.842 117.25 1 0 -0.96 -1.24
11 34 33 4 -2.2012 -0.42627 -0.75684 36.777 31.842 117.25 1 0 -1 -1.46
11 34 33 269 -1.0449 -0.52979 -0.082031 37.711 31.842 117.25 1 0 -1.08 -1.26
11 34 33 503 -1.0508 -0.25293 -0.42139 38.66 31.842 117.25 1 0 -1 -1.12
11 34 33 815 -2.1304 0.19385 -0.44531 39.746 31.842 117.25 1 0 -1.08 -1.28
11 34 34 34 -1.748 0.13281 -0.3623 37.999 31.842 117.25 1 0 -1.08 -1.38
11 34 34 283 -2.3589 -0.80322 -0.01123 37.539 31.842 117.25 1 0 -0.96 -1.42
11 34 34 595 -2.5229 -0.33545 -0.70898 35.923 31.842 117.25 1 0 -1.04 -1.52
11 34 34 861 -1.9102 -0.13428 0.0048828 36.203 31.842 117.25 1 0 -1.16 -1.42
11 34 35 141 -1.4131 0.39063 -0.12842 36.027 31.842 117.25 1 0 -1.32 -1.1
11 34 35 391 -0.99609 0.67334 -1.0947 35.707 31.842 117.25 1 0 -1.36 -1.22
11 34 35 656 -2.1123 -0.4043 -0.43896 34.232 31.842 117.25 1 0 -1.16 -1.16
11 34 35 937 -1.2646 0.073242 -0.65381 32.981 31.842 117.25 1 0 -1.4 -1.04
11 34 36 202 -1.4619 -0.31738 -0.17969 35.595 31.842 117.25 1 0 -1.12 -1.32
11 34 36 467 -2.5083 -0.74609 -0.78857 33.835 31.842 117.25 1 0 -1.24 -1.18
11 34 36 701 -1.8452 -0.56885 -0.25146 33.69 31.842 117.25 1 0 -1.16 -1.34
11 34 36 982 -1.6548 -0.41797 -0.28809 31.43 31.842 117.25 1 0 -1.2 -1.34
11 34 37 232 -2.4751 -0.77734 -0.054199 29.745 31.842 117.25 1 0 -1.16 -1.54
11 34 37 513 -1.7378 -0.19385 -0.31885 35.605 31.842 117.25 1 0 -0.92 -1.76
11 34 37 778 -1.353 -0.21045 -0.17432 34.992 31.842 117.25 1 0 -0.88 -1.82
11 34 38 74 -2.2227 -0.45947 -0.38184 34.019 31.842 117.25 1 0 -0.84 -1.24
11 34 38 371 -0.17236 0.19287 -0.49316 34.846 31.842 117.25 1 0 -1.04 -1.44
11 34 38 651 -1.5815 -0.0024414 -0.36768 33.024 31.842 117.25 1 0 -1 -1.54
11 34 38 917 -2.6118 -0.42285 -0.7832 32.067 31.842 117.25 1 0 -1.04 -1.62
11 34 39 229 -2.3716 -0.49854 -0.53271 29.454 31.842 117.25 1 0 -1.24 -1.78
11 34 39 509 -2.0127 -0.21973 -0.37646 26.834 31.842 117.25 1 0 -1.28 -1.82
11 34 39 821 -1.8911 -0.23779 -0.3335 25.787 31.842 117.25 1 0 -1.24 -1.84
11 34 40 87 -1.9751 -0.23633 -0.38281 25.263 31.842 117.25 1 0 -1.2 -1.86
11 34 40 305 -1.9053 -0.23486 -0.41211 23.728 31.842 117.25 1 0 -1.12 -1.24
11 34 40 617 -1.9868 -0.070313 -0.25488 23.728 31.842 117.25 1 0 -1.12 -1.84
11 34 40 929 -1.9028 -0.2417 -0.44043 25.537 31.842 117.25 1 0 -1.24 -1.82
11 34 41 132 -1.8823 -0.2207 -0.39844 24.538 31.842 117.25 1 0 -1.16 -1.86
