hh mm ss ms ax ay az angle latitude longtitude gpsFlag x y z
11 35 5 171 -1.9058 -0.20264 -0.39111 25.445 31.842 117.25 1 0 -1.32 -1.52
11 35 5 468 -1.9253 -0.21289 -0.40088 25.267 31.842 117.25 1 0 -1.28 -1.48
11 35 5 733 -1.8999 -0.20557 -0.40869 26.375 31.842 117.25 1 0 -1.32 -1.5
11 35 6 29 -1.9102 -0.1958 -0.41016 25.796 31.842 117.25 1 0 -1.32 -1.5
11 35 6 310 -1.9116 -0.21143 -0.40381 25.427 31.842 117.25 1 0 -1.28 -1.5
11 35 6 622 -1.9058 -0.2373 -0.5127 24.864 31.842 117.25 1 0 -1.32 -1.5
11 35 6 903 -1.896 -0.16748 -0.66113 25.408 31.842 117.25 1 0 -1.24 -1.28
11 35 7 153 -1.6353 -0.19434 -0.53223 23.481 31.842 117.25 1 0 -1.24 -1.42
11 35 7 465 -2.1123 -0.21973 -0.40234 22.62 31.842 117.25 1 0 -1.28 -1.36
11 35 7 777 -1.3848 -0.24805 -0.57666 25.224 31.842 117.25 1 0 -1.24 -1.38
11 35 8 89 -1.272 0.14014 -0.57422 29.745 31.842 117.25 1 0 -1.24 -1.3
11 35 8 338 -2.2954 -0.51758 -0.56836 29.141 31.842 117.25 1 0 -1.36 -1.06
11 35 8 619 -2.6055 -0.24902 -0.94189 31.578 31.842 117.25 1 0 -1.28 -1.3
11 35 8 931 -0.94141 -0.0029297 -0.80566 27.607 31.842 117.25 1 0 -0.96 -1.1
11 35 9 227 -2.3843 -0.97754 -0.98193 27.824 31.842 117.25 1 0 -1.2 -1.32
11 35 9 555 -2.9507 -0.18164 -0.37939 27.688 31.842 117.25 1 0 -1.12 -1.22
11 35 9 867 -0.75391 0.0073242 0.0073242 29.683 31.842 117.25 1 0 -0.8 -1.02
11 35 10 163 -3.4702 -0.70313 -0.54736 29.999 31.842 117.25 1 0 -1 -1.28
11 35 10 460 -1.3965 -0.28516 -0.73682 28.369 31.842 117.25 1 0 -1.08 -1.2
11 35 10 694 -1.2886 -0.54248 0.8667 25.88 31.842 117.25 1 0 -1.24 -0.86
11 35 10 959 -2.1528 -0.84326 -0.80762 28.811 31.842 117.25 1 0 -1.16 -1.08
11 35 11 287 -2.2017 -0.87109 -0.42871 29.249 31.842 117.25 1 0 -1.04 -0.82
11 35 11 552 -2.104 0.14209 -1.4546 27.924 31.842 117.25 1 0 -1.24 -0.62
11 35 11 801 -2.3423 -0.92432 -0.25879 26.105 31.842 117.25 1 0 -1.36 -1
11 35 12 82 -1.7979 -0.76855 0.10107 25.622 31.842 117.25 1 0 -1.08 -1.04
11 35 12 410 -3.1372 -0.082031 -1.2251 25.641 31.842 117.25 1 0 -1.16 -1.2
11 35 12 613 -1.644 0.10547 -0.84863 23.127 31.842 117.25 1 0 -1.32 -0.9
11 35 12 893 -3.6128 -0.28223 -1.2031 20.171 31.842 117.25 1 0 -1.44 -1.1
11 35 13 190 -2.3989 -0.48926 -0.42725 21.371 31.842 117.25 1 0 -1.2 -1.32
11 35 13 486 -2.9849 -0.39404 -1.063 22.805 31.842 117.25 1 0 -1.36 -1.28
11 35 13 720 -2.1587 -0.396 -0.63623 19.983 31.842 117.25 1 0 -1.36 -1.34
11 35 14 17 -2.1416 -0.10693 -0.3501 16.639 31.842 117.25 1 0 -1.12 -1.44
11 35 14 282 -2.1353 -0.25732 0.086914 15.376 31.842 117.25 1 0 -1.24 -1.66
11 35 14 516 -4 -1.498 -0.42285 14.534 31.842 117.25 1 0 -1.32 -1.38
11 35 14 750 -1.5479 0.16992 -0.74902 15.767 31.842 117.25 1 0 -1.4 -1.64
11 35 15 62 -2.9043 -0.35986 -0.43262 12.095 31.842 117.25 1 0 -1.4 -1.46
11 35 15 374 -2.1084 -0.375 -0.068848 10.008 31.842 117.25 1 0 -1.48 -1.64
11 35 15 655 -2.1484 -0.33594 -0.5835 8.2192 31.842 117.25 1 0 -1.64 -1.64
11 35 15 920 -1.9058 -0.1416 -0.37451 6.4108 31.842 117.25 1 0 -1.68 -1.62
11 35 16 201 -1.6465 -0.46338 -0.47217 3.2155 31.842 117.25 1 0 -1.64 -1.66
11 35 16 497 -1.8647 -0.19629 -0.39844 5.9743 31.842 117.25 1 0 -1.68 -1.64
11 35 16 778 -1.8901 -0.23975 -0.44189 7.5121 31.842 117.25 1 0 -1.72 -1.64
11 35 17 12 -1.8979 -0.22314 -0.37842 6.3402 31.842 117.25 1 0 -1.68 -1.68
11 35 17 261 -1.8994 -0.20215 -0.37354 5.7743 31.842 117.25 1 0 -1.68 -1.64
11 35 17 542 -1.9116 -0.19727 -0.39844 5.7106 31.842 117.25 1 0 -1.68 -1.64
11 35 17 792 -1.9023 -0.21777 -0.39258 5.7743 31.842 117.25 1 0 -1.76 -1.66
11 35 18 57 -1.9116 -0.21338 -0.40088 4.3987 31.842 117.25 1 0 -1.64 -1.64
11 35 18 307 -1.9072 -0.22168 -0.38672 7.289 31.842 117.25 1 0 -1.72 -1.66
11 35 18 572 -1.9067 -0.20996 -0.38623 5.6482 31.842 117.25 1 0 -1.72 -1.64
11 35 18 899 -1.9229 -0.23486 -0.40723 5.0796 31.842 117.25 1 0 -1.68 -1.62
