hh mm ss ms ax ay az angle latitude longtitude gpsFlag x y z
11 36 16 331 -1.9141 -0.20947 -0.38867 6.8924 31.842 117.25 1 0 -1.2 -1.02
11 36 16 688 -1.9146 -0.20654 -0.40918 4.4474 31.842 117.25 1 0 -1.16 -1.02
11 36 16 910 -1.9297 -0.22314 -0.40137 6.6048 31.842 117.25 1 0 -1.16 -1.04
11 36 17 221 -1.9219 -0.22314 -0.4126 6.3402 31.842 117.25 1 0 -1.2 -1.02
11 36 17 578 -1.8999 -0.21777 -0.37695 5.1364 31.842 117.25 1 0 -1.2 -1
11 36 17 907 -1.9233 -0.2168 -0.38428 5.7743 31.842 117.25 1 0 -1.2 -1.02
11 36 18 253 -1.9282 -0.21875 -0.40869 5.0796 31.842 117.25 1 0 -1.16 -0.98
11 36 18 546 -1.9194 -0.21973 -0.40234 2.5734 31.842 117.25 1 0 -1.2 -1.02
11 36 18 824 -1.9224 -0.23145 -0.41895 5.0796 31.842 117.25 1 0 -1.2 -1.02
11 36 19 159 -1.9136 -0.21533 -0.4043 3.9005 31.842 117.25 1 0 -1.2 -1.02
11 36 19 489 -1.916 -0.22412 -0.39648 1.3322 31.842 117.25 1 0 -1.2 -1
11 36 19 800 -1.8926 -0.22363 -0.41846 4.548 31.842 117.25 1 0 -1.2 -0.96
11 36 20 152 -1.9146 -0.21094 -0.39404 4.6534 31.842 117.25 1 0 -1.2 -0.92
11 36 20 396 -1.9072 -0.23047 -0.40625 4.0377 31.842 117.25 1 0 -1.16 -1
11 36 20 679 -1.9131 -0.24023 -0.39795 2.8986 31.842 117.25 1 0 -1.16 -1
11 36 20 923 -1.9077 -0.23779 -0.39404 4.2892 31.842 117.25 1 0 -1.2 -0.92
11 36 21 284 -1.895 -0.21729 -0.38965 11.165 31.842 117.25 1 0 -1.2 -0.82
11 36 21 576 -1.896 -0.22998 -0.39209 15.322 31.842 117.25 1 0 -1.12 -1.1
11 36 21 822 -1.8945 -0.22412 -0.37305 19.516 31.842 117.25 1 0 -1.2 -0.98
11 36 22 156 -1.9214 -0.20898 -0.39697 21.468 31.842 117.25 1 0 -1.16 -0.98
11 36 22 462 -1.917 -0.19727 -0.39404 20.999 31.842 117.25 1 0 -1.2 -0.92
11 36 22 715 -1.9155 -0.24072 -0.41211 17.354 31.842 117.25 1 0 -1.2 -0.98
11 36 22 981 -1.9248 -0.20361 -0.3833 12.479 31.842 117.25 1 0 -1.2 -0.96
11 36 23 261 -1.9111 -0.22168 -0.37256 6.5463 31.842 117.25 1 0 -1.16 -0.98
11 36 23 527 -1.8999 -0.22217 -0.42676 2.5114 31.842 117.25 1 0 -1.2 -1
11 36 23 870 -1.9023 -0.21387 -0.39697 1.6683 31.842 117.25 1 0 -1.16 -1
11 36 24 151 -1.9028 -0.19775 -0.39111 0.59681 31.842 117.25 1 0 -1.2 -1.02
11 36 24 463 -1.9194 -0.20703 -0.37549 2.3859 31.842 117.25 1 0 -1.16 -1
11 36 24 728 -1.9199 -0.21777 -0.41553 2.4896 31.842 117.25 1 0 -1.2 -1
11 36 24 977 -1.915 -0.2207 -0.40527 4.548 31.842 117.25 1 0 -1.2 -1.04
11 36 25 196 -1.9019 -0.2334 -0.37793 2.6026 31.842 117.25 1 0 -1.16 -1.04
11 36 25 430 -1.9131 -0.22412 -0.39258 3.145 31.842 117.25 1 0 -1.2 -1
11 36 25 679 -1.9072 -0.2168 -0.40381 5.9061 31.842 117.25 1 0 -1.16 -1
11 36 25 929 -1.9224 -0.22656 -0.39795 5.1364 31.842 117.25 1 0 -1.2 -1
11 36 26 241 -1.9121 -0.22949 -0.39941 5.6482 31.842 117.25 1 0 -1.16 -1.02
11 36 26 522 -1.9336 -0.22217 -0.40674 4.3987 31.842 117.25 1 0 -1.2 -1
11 36 26 771 -1.9106 -0.20752 -0.40479 4.9697 31.842 117.25 1 0 -1.2 -1
11 36 27 21 -1.9312 -0.2124 -0.41113 4.548 31.842 117.25 1 0 -1.2 -1.04
11 36 27 302 -1.9116 -0.2168 -0.39404 5.7106 31.842 117.25 1 0 -1.2 -1.02
11 36 27 520 -1.9092 -0.22559 -0.41162 7.5121 31.842 117.25 1 0 -1.16 -1.02
11 36 27 770 -1.8984 -0.23096 -0.41699 6.2711 31.842 117.25 1 0 -1.16 -1
11 36 27 973 -1.9175 -0.21484 -0.41357 5.6482 31.842 117.25 1 0 -1.2 -1.02
11 36 28 285 -1.9136 -0.22754 -0.41895 6.3402 31.842 117.25 1 0 -1.16 -1.04
11 36 28 581 -1.9028 -0.2207 -0.38428 5.9061 31.842 117.25 1 0 -1.2 -1.02
11 36 28 909 -1.9136 -0.23047 -0.4082 5.5872 31.842 117.25 1 0 -1.2 -1.02
11 36 29 189 -1.917 -0.21484 -0.38672 5.7743 31.842 117.25 1 0 -1.16 -1.02
11 36 29 470 -1.8975 -0.22314 -0.37451 4.3511 31.842 117.25 1 0 -1.16 -1.04
11 36 29 720 -1.9092 -0.23389 -0.41113 5.5872 31.842 117.25 1 0 -1.16 -1
11 36 29 985 -1.9106 -0.23096 -0.38965 5.2538 31.842 117.25 1 0 -1.2 -1
11 36 30 297 -1.918 -0.21533 -0.3833 4.4972 31.842 117.25 1 0 -1.16 -1.08
