hh mm ss ms ax ay az angle latitude longtitude gpsFlag x y z
11 32 48 375 -1.8071 -0.35352 -0.40332 179.28 31.842 117.25 1 0 0.96 -1.96
11 32 48 681 -1.9434 -0.28125 -0.30908 179.46 31.842 117.25 1 0 1.04 -1.98
11 32 48 892 -1.9175 -0.33203 -0.51855 180 31.842 117.25 1 0 0.96 -1.88
11 32 49 207 -1.9258 -0.19873 -0.38818 180.27 31.842 117.25 1 0 0.96 -1.9
11 32 49 495 -1.9077 -0.2417 -0.54541 180.27 31.842 117.25 1 0 0.92 -1.96
11 32 49 777 -1.8052 -0.37354 -0.70605 180.27 31.842 117.25 1 0 0.96 -1.98
11 32 49 992 -1.8213 -0.20947 -0.50684 181 31.842 117.25 1 0 0.92 -1.8
11 32 50 281 -2.1436 -0.25586 -0.84131 181.19 31.842 117.25 1 0 0.8 -1.9
11 32 50 582 -1.9014 -0.25781 -0.15967 181.1 31.842 117.25 1 0 0.92 -1.98
11 32 50 858 -1.7358 -0.2373 -0.53906 180.92 31.842 117.25 1 0 0.76 -1.98
11 32 51 101 -2.0063 -0.21289 -0.6333 180.73 31.842 117.25 1 0 0.92 -1.98
11 32 51 349 -1.7114 -0.43262 -0.27197 181.2 31.842 117.25 1 0 0.88 -1.98
11 32 51 676 -1.772 -0.33252 -0.39844 181.11 31.842 117.25 1 0 0.76 -1.9
11 32 52 21 -1.5122 -0.026855 -0.37256 181.31 31.842 117.25 1 0 0.88 -1.96
11 32 52 277 -1.3184 0.12256 -0.31445 181.12 31.842 117.25 1 0 0.92 -1.98
11 32 52 536 -1.5781 0.04834 -0.26709 181.22 31.842 117.25 1 0 0.96 -1.68
11 32 52 787 -1.1396 0.016602 -0.31445 181.21 31.842 117.25 1 0 1.16 -1.8
11 32 53 69 -1.6323 -0.5415 -0.35693 181.31 31.842 117.25 1 0 0.88 -1.96
11 32 53 316 -2.4331 -0.4624 -0.85986 181.31 31.842 117.25 1 0 0.88 -1.98
11 32 53 575 -2.7427 -0.71924 -0.66357 181.69 31.842 117.25 1 0 0.84 -1.98
11 32 53 839 -1.6436 0.085938 -0.12256 181.4 31.842 117.25 1 0 0.92 -1.98
11 32 54 113 -2.1074 -0.38916 -0.71045 181.49 31.842 117.25 1 0 1.16 -1.86
11 32 54 395 -2.0068 -0.28711 -0.71826 181.96 31.842 117.25 1 0 0.92 -1.98
11 32 54 601 -1.9238 -0.5293 -0.089844 181.68 31.842 117.25 1 0 1.32 -1.74
11 32 54 876 -2.1294 -0.13965 -0.25293 181.66 31.842 117.25 1 0 1.08 -1.72
11 32 55 152 -1.5835 -0.084961 -0.4375 181.66 31.842 117.25 1 0 1.2 -1.5
11 32 55 421 -2.7373 -0.25928 -1.207 181.74 31.842 117.25 1 0 -0.6 -1.4
11 32 55 710 -1.8394 0.019531 0.12158 181.64 31.842 117.25 1 0 1 -1.62
11 32 55 967 -1.5112 -0.11133 -0.43701 181.82 31.842 117.25 1 0 1.32 -1.3
11 32 56 263 -1.0532 -0.043945 0.1123 181.36 31.842 117.25 1 0 1.12 -1.36
11 32 56 529 -2.418 -0.38232 -0.51465 181.36 31.842 117.25 1 0 1.36 -1.3
11 32 56 825 -2.1709 -0.36279 -0.83008 181.63 31.842 117.25 1 0 0.88 -1.04
11 32 57 43 -2.314 -0.14014 -0.45703 181.73 31.842 117.25 1 0 0.76 -0.88
11 32 57 309 -1.3843 -0.04541 -0.11182 182.73 31.842 117.25 1 0 0.76 -1
11 32 57 558 -0.23389 0.49756 0.01123 182.27 31.842 117.25 1 0 0.88 -0.98
11 32 57 870 -1.5991 -0.065918 -1.0093 181.99 31.842 117.25 1 0 0.92 -0.96
11 32 58 89 -2.5635 -0.66064 0.10791 182.1 31.842 117.25 1 0 0.88 -0.94
11 32 58 369 -1.6982 -0.098633 -0.46436 182.2 31.842 117.25 1 0 0.88 -1.08
11 32 58 650 -2.4053 -0.26807 -0.53711 182.47 31.842 117.25 1 0 0.8 -1.06
11 32 58 900 -2.2378 -0.55078 -0.18652 182.2 31.842 117.25 1 0 0.88 -1
11 32 59 181 -1.7261 -0.24512 -0.49072 182.3 31.842 117.25 1 0 1 -0.88
11 32 59 383 -2.3232 -0.5874 -0.40137 181.93 31.842 117.25 1 0 0.96 -0.92
11 32 59 649 -2.8862 -0.53027 -0.27686 182.3 31.842 117.25 1 0 1 -1.02
11 32 59 898 -2.7852 -0.36279 -0.89697 182.49 31.842 117.25 1 0 1 -0.96
11 33 0 195 -2.0874 -0.48438 -0.53271 182.31 31.842 117.25 1 0 0.96 -1.02
11 33 0 429 -2.2031 -0.70801 -0.11914 182.12 31.842 117.25 1 0 1 -1
11 33 0 694 -1.7817 -0.1582 -0.26953 182.38 31.842 117.25 1 0 1.04 -1.04
11 33 0 990 -1.7227 -0.42432 -0.22314 182.47 31.842 117.25 1 0 0.96 -1
11 33 1 302 -2.1216 -0.45703 -0.33203 182.93 31.842 117.25 1 0 1 -1.06
11 33 1 552 -1.8735 -0.37158 -0.15186 182.67 31.842 117.25 1 0 1.04 -1.02
