hh mm ss ms ax ay az angle latitude longtitude gpsFlag x y z
11 33 44 67 -1.8945 -0.26514 -0.40088 187.13 0 0 0 0 -0.72 -1.04
11 33 44 394 -1.8955 -0.25049 -0.38477 186.95 31.842 117.25 1 0 -0.72 -1.02
11 33 44 628 -1.876 -0.27588 -0.39941 187.01 31.842 117.25 1 0 -0.76 -1
11 33 44 909 -1.8613 -0.31738 -0.5542 186.87 31.842 117.25 1 0 -0.72 -1.06
11 33 45 174 -2.0015 -0.44043 -0.40576 186.96 31.842 117.25 1 0 -0.72 -1.02
11 33 45 471 -1.772 -0.52197 -0.51172 186.17 31.842 117.25 1 0 -0.6 -1.04
11 33 45 720 -1.7778 -1 -0.45215 186.09 31.842 117.25 1 0 -0.72 -0.98
11 33 46 1 -0.58203 -0.2002 0.088867 186.3 31.842 117.25 1 0 -0.6 -1.1
11 33 46 298 -0.23047 0.51221 -0.40234 186.23 31.842 117.25 1 0 -0.44 -0.98
11 33 46 547 -1.9302 -0.27979 -0.16943 185.59 31.842 117.25 1 0 -0.52 -0.98
11 33 46 844 -1.5889 -0.41016 -0.18555 185.31 31.842 117.25 1 0 -0.32 -0.88
11 33 47 109 -3.1396 -0.36865 -0.27539 186.61 31.842 117.25 1 0 -0.32 -1.06
11 33 47 405 -2.458 0.1123 0.14453 187.03 31.842 117.25 1 0 -0.24 -0.88
11 33 47 686 -0.86328 -0.31885 0.46045 186.96 31.842 117.25 1 0 -0.2 -0.92
11 33 47 998 -3.0576 -0.65186 0.41748 186.35 31.842 117.25 1 0 -0.2 -0.92
11 33 48 372 -2.1846 0.26172 -0.57813 185.27 31.842 117.25 1 0 -0.16 -0.98
11 33 48 669 -1.3096 -0.057617 -0.022461 185.73 31.842 117.25 1 0 -0.2 -1.08
11 33 48 996 -1.1475 0.23389 -0.1084 185.21 31.842 117.25 1 0 -0.16 -1.08
11 33 49 262 -0.93213 0.17432 -0.58447 185.58 31.842 117.25 1 0 -0.32 -1.02
11 33 49 542 -2.2192 -0.59668 -0.70752 185.53 31.842 117.25 1 0 -0.2 -0.88
11 33 49 839 -1.5928 -0.18994 0.09375 185.14 31.842 117.25 1 0 -0.16 -0.9
11 33 50 135 -1.4487 -0.2749 -0.21729 184.88 31.842 117.25 1 0 -0.16 -1.02
11 33 50 400 -1.6313 0.22119 -0.33008 184.48 31.842 117.25 1 0 -0.36 -1.1
11 33 50 681 -2.8628 -0.43164 -1.0967 184.93 31.842 117.25 1 0 -0.08 -1.02
11 33 50 978 -1.3555 -0.055176 -0.50488 184.96 31.842 117.25 1 0 -0.16 -0.94
11 33 51 274 -0.89453 -0.30273 -0.11963 184.51 31.842 117.25 1 0 -0.16 -0.98
11 33 51 555 -2.0874 -0.58887 -0.59619 184.42 31.842 117.25 1 0 -0.24 -1.18
11 33 51 804 -3.1094 -0.39893 -0.78613 184.26 31.842 117.25 1 0 -0.12 -1.04
11 33 52 85 -1.748 -0.43848 0.13135 184.41 31.842 117.25 1 0 -0.2 -1.02
11 33 52 553 -0.8374 -0.58252 0.28125 184.14 31.842 117.25 1 0 0.68 -1.08
11 33 52 756 -2.0337 -0.38672 -0.48877 184.54 31.842 117.25 1 0 -0.08 -0.96
11 33 52 990 -2.6289 -0.67432 -0.74365 184.62 31.842 117.25 1 0 0.68 -1.14
11 33 53 286 -2.0405 -0.50098 -0.30615 184.34 31.842 117.25 1 0 -0.16 -1.16
11 33 53 583 -1.418 0.21338 -0.66455 184.34 31.842 117.25 1 0 -0.12 -1.24
11 33 53 848 -2.7632 -0.13281 -1.3228 184.14 31.842 117.25 1 0 0.72 -1.14
11 33 54 98 -0.9209 1.0728 -0.54688 184.03 31.842 117.25 1 0 0.72 -1.1
11 33 54 347 -2.0249 -0.47949 0.17578 184.48 31.842 117.25 1 0 0.72 -1.16
11 33 54 597 -2.1035 -0.38379 -0.51367 184.45 31.842 117.25 1 0 0.64 -1.22
11 33 54 831 -1.9312 -0.31787 -0.41602 184.75 31.842 117.25 1 0 0.6 -1.26
11 33 55 65 -1.9639 -0.23486 -0.4082 184.29 31.842 117.25 1 0 0.6 -1.18
11 33 55 314 -1.9185 -0.29248 -0.38184 184.27 31.842 117.25 1 0 0.64 -1.28
11 33 55 580 -1.8848 -0.27344 -0.40234 184.36 31.842 117.25 1 0 0.6 -1.18
11 33 55 845 -1.9004 -0.3208 -0.43994 184.11 31.842 117.25 1 0 0.6 -1.18
11 33 56 94 -1.9053 -0.29053 -0.38525 184.4 31.842 117.25 1 0 0.64 -1.24
11 33 56 297 -1.9058 -0.28174 -0.39502 184.36 31.842 117.25 1 0 0.64 -1.26
11 33 56 594 -1.9136 -0.30176 -0.45166 184.48 31.842 117.25 1 0 0.64 -1.26
11 33 56 859 -1.8994 -0.30078 -0.44971 184.11 31.842 117.25 1 0 0.6 -1.26
11 33 57 140 -1.9146 -0.29541 -0.39258 184.37 31.842 117.25 1 0 0.64 -1.2
11 33 57 374 -1.8735 -0.29297 -0.40283 184.01 31.842 117.25 1 0 0.6 -1.26
11 33 57 623 -1.9141 -0.29053 -0.40527 184.21 31.842 117.25 1 0 0.64 -1.26
