hh mm ss ms ax ay az angle latitude longtitude gpsFlag x y z
11 44 46 32 -1.9434 -0.28564 -0.38916 235.01 0 0 0 -2 0 1.5057e-015
11 44 46 360 -1.9175 -0.28662 -0.37305 234.81 31.842 117.25 1 -2 0 1.5057e-015
11 44 46 625 -1.9141 -0.25391 -0.3833 234.94 31.842 117.25 1 -2 0 1.5057e-015
11 44 46 937 -1.8994 -0.24023 -0.41113 234.57 31.842 117.25 1 -2 0 1.5057e-015
11 44 47 249 -1.9927 -0.33789 -0.45557 234.52 31.842 117.25 1 -2 0 1.5057e-015
11 44 47 514 -2.0078 -0.13184 -0.44434 234.43 31.842 117.25 1 -2 0 1.5057e-015
11 44 47 795 -2.1665 -0.11719 -0.66992 233.92 31.842 117.25 1 -2 0 1.5057e-015
11 44 48 14 -2.0732 -0.25684 -0.40918 233.87 31.842 117.25 1 -2 0 1.5057e-015
11 44 48 279 -2.23 -0.55566 -0.17383 233.51 31.842 117.25 1 -2 0 1.5057e-015
11 44 48 497 -1.9761 -0.17773 -0.6416 232.19 31.842 117.25 1 -2 0 1.5057e-015
11 44 48 731 -1.2051 -0.061523 -0.11035 231.95 31.842 117.25 1 -2 0 1.5057e-015
11 44 48 996 -1.8477 -0.31299 -0.29395 231.84 31.842 117.25 1 -2 0 1.5057e-015
11 44 49 262 -2.0586 -0.12061 -0.56641 231.58 31.842 117.25 1 -2 0 1.5057e-015
11 44 49 511 -1.561 -0.27393 -0.30811 230.83 31.842 117.25 1 -2 0 1.5057e-015
11 44 49 792 -1.9653 -0.42188 -0.7207 229.76 31.842 117.25 1 -2 0 1.5057e-015
11 44 50 26 -2.4546 -0.59082 -0.65234 229.24 31.842 117.25 1 -2 0 1.5057e-015
11 44 50 244 -1.5332 0.29785 -0.66455 228.67 31.842 117.25 1 -2 0 1.5057e-015
11 44 50 525 -2.5566 -0.21533 -0.74365 228.76 31.842 117.25 1 -2 0 1.5057e-015
11 44 50 853 -2.7397 -0.70508 -0.36426 228.28 31.842 117.25 1 -2 0 1.5057e-015
11 44 51 102 -1.9575 -0.32959 -0.80811 227.87 31.842 117.25 1 -2 0 1.5057e-015
11 44 51 383 -0.79443 -0.97412 -0.77588 226.62 31.842 117.25 1 -2 0 1.5057e-015
11 44 51 617 -1.5117 -0.29199 -0.07959 226.22 31.842 117.25 1 -2 0 1.5057e-015
11 44 52 7 -2.1689 -0.42773 -0.27295 225.9 31.842 117.25 1 -2 0 1.5057e-015
11 44 52 288 -1.4033 -0.30908 0.14453 225.98 31.842 117.25 1 -2 0 1.5057e-015
11 44 52 569 -1.6025 -0.19141 -0.56055 225.25 31.842 117.25 1 -2 0 1.5057e-015
11 44 52 818 -1.8296 -0.29395 -0.18701 224.76 31.842 117.25 1 -2 0 -0.02
11 44 53 99 -1.3545 -0.075195 0.060059 225.33 31.842 117.25 1 -2 0 1.5057e-015
11 44 53 380 -1.6914 -0.89941 -0.85645 225.08 31.842 117.25 1 -2 0 -0.06
11 44 53 583 -1.9067 -0.40039 -0.35449 224.83 31.842 117.25 1 -2 0 1.5057e-015
11 44 53 832 -2.9907 -0.875 -1.1216 225.41 31.842 117.25 1 -2 0 1.5057e-015
11 44 54 82 -1.186 0.046875 -0.32422 225.58 31.842 117.25 1 -2 0 -0.1
11 44 54 316 -2.1143 -0.44482 -0.25977 225.76 31.842 117.25 1 -2 0 1.5057e-015
11 44 54 597 -2.0439 -0.2334 -0.47705 226.36 31.842 117.25 1 -2 0 1.5057e-015
11 44 54 878 -0.70654 -0.04541 -0.012695 225.94 31.842 117.25 1 -2 0 1.5057e-015
11 44 55 158 -3.1162 -0.71777 -0.55322 226.37 31.842 117.25 1 -2 0 -0.1
11 44 55 439 -1.9468 0.35156 -0.854 226.54 31.842 117.25 1 -2 0 -0.22
11 44 55 689 -1.2827 -0.42969 -0.33545 227.24 31.842 117.25 1 -2 0 -0.2
11 44 55 938 -2.8433 -0.095215 -0.78564 227.95 31.842 117.25 1 -2 0 -0.2
11 44 56 219 -1.8574 -0.17139 -0.44385 228.25 31.842 117.25 1 -2 0 -0.3
11 44 56 484 -1.7173 -0.59912 0.20898 228.32 31.842 117.25 1 -2 0 -0.36
11 44 56 703 -2.4614 -0.11621 -0.60352 228.42 31.842 117.25 1 -2 0 -0.48
11 44 56 906 -1.9116 -0.23779 -0.43701 228.8 31.842 117.25 1 -2 0 -0.58
11 44 57 171 -2.4897 -0.58936 -0.47705 229.59 31.842 117.25 1 -2 0 -0.72
11 44 57 436 -1.5811 -0.075684 -0.49854 229.71 31.842 117.25 1 -2 0 -1.14
11 44 57 686 -2.0625 -0.5293 -0.23682 230.05 31.842 117.25 1 -2 0 -1.84
11 44 57 982 -1.9814 -0.50537 -0.47949 229.89 31.842 117.25 1 -2 0 -1.98
11 44 58 232 -1.8496 -0.40088 -0.66211 229.73 31.842 117.25 1 -2 0 -1.98
11 44 58 528 -1.6592 -0.23779 -0.7915 230.24 31.842 117.25 1 -2 0 -1.98
11 44 58 746 -2.0664 -0.56787 -0.32959 230.53 31.842 117.25 1 -2 0 -1.98
11 44 59 12 -1.9409 -0.25684 -0.31885 231.28 31.842 117.25 1 -2 0 -1.98
